,col,x_max,x_min
0,act_weight,144.0,103.0
1,decla_weight,1373.0,815.0
2,time,167.1,54.69
3,odds,670.0,1.0
4,age,8.057494866529774,0.0
5,time_since_last,1099.0,2.0
6,weight_diff,34.0,-34.0
7,horse_cul_wintimes,16.0,0.0
8,horse_cul_racetimes,106.0,0.0
9,horse_cul_winrate,1.0,0.0
10,jockey_cul_wintimes,1658.0,0.0
11,jockey_cul_racetimes,11320.0,0.0
12,jockey_cul_winrate,1.0,0.0
13,trainer_cul_wintimes,1167.0,0.0
14,trainer_cul_racetimes,11148.0,0.0
15,trainer_cul_winrate,1.0,0.0
16,horse_rating,21.940126046450988,-16.52231895770595
17,jockey_rating,93.38101186128037,-94.71983028830557
18,trainer_rating,73.25033843747491,-62.55633118100491
